ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
150006;-49,417450;-0,508050;0,493600;0,131080;10,303400;-0,241630;-0,948420;0,447550;1,711530;0,255915;0,646000;10,009600;-0,042008;0,506852;1,467210;2,060335
150007;-48,487010;-1,359020;0,249980;0,198180;12,572800;-0,515100;1,856600;3,010700;3,801650;0,324927;0,570348;9,417620;-0,039993;-0,048655;1,313015;0,489767
150008;-48,055620;-1,411560;0,231510;1,049370;10,426100;-0,256410;-0,366000;-1,351470;0,603960;0,217728;0,302728;9,138060;-0,124595;-0,090582;0,876412;0,381498
150009;-47,743110;-0,835180;0,163550;0,314720;7,780100;0,062450;0,216200;-0,198980;0,437420;0,238163;0,346060;9,633100;-0,104173;-0,555270;-0,738787;0,822260
150010;-47,089210;-1,122090;-0,010620;-0,142270;6,758900;0,185520;-0,351390;-1,312440;0,151290;0,193530;0,593673;8,342040;-0,056857;0,237090;-0,245903;0,521457
150011;-49,330520;-2,597150;0,350270;0,203210;3,317100;0,600270;3,297350;3,657080;3,979470;0,423610;1,036463;8,898120;-0,038149;-0,037589;-0,047473;1,320484
150012;-48,757150;-2,440680;0,224330;0,897730;10,474200;-0,262200;-2,177550;2,498900;-4,335890;0,302780;0,729818;8,946800;0,049200;1,528946;1,119798;2,274790
150013;-47,539470;-2,271840;0,185530;0,416930;8,104300;0,023390;0,861070;0,812740;0,522990;0,208943;0,719148;9,322740;0,079538;1,002593;0,169185;0,544858
150014;-56,547110;-6,378180;0,433120;1,263060;7,683500;0,074090;3,548240;4,986290;-2,273110;0,338159;1,156534;4,004520;0,244581;0,710759;-0,538184;1,091009
150015;-54,267510;-6,068870;0,556850;1,140160;5,510400;0,335960;1,889510;0,472960;4,201380;0,422346;0,998064;6,107240;0,356879;1,248595;2,481080;0,903234
150016;-49,957860;-4,439640;0,496610;1,781400;5,030100;0,393850;1,995710;-0,530060;2,465880;0,345731;0,999200;5,358600;0,133013;1,071846;3,838043;1,771626
150017;-48,011190;-3,879520;0,042020;0,458820;10,313700;-0,242870;2,054760;2,939270;3,898550;0,363510;1,091590;6,886340;0,406358;1,528242;0,831444;1,442136
150018;-51,905070;-7,461220;0,881310;1,991600;5,765800;0,305190;1,201740;11,587320;2,032800;0,428480;1,336805;4,807860;0,440961;1,892244;1,705790;2,245083
150019;-50,025170;-6,518810;0,662310;1,724890;4,575000;0,448680;2,974380;3,464760;4,077000;0,538503;1,643603;4,949960;0,373393;1,392373;5,880713;1,944347
150020;-49,769600;-5,568100;0,179810;1,885950;6,876400;0,171350;0,376040;4,898030;2,102080;0,513432;1,228498;3,325320;0,390388;2,161423;4,108853;2,465162
150021;-49,493470;-7,128980;0,554390;1,053260;2,957200;0,643640;2,599340;1,156790;1,698160;0,528928;1,550268;4,047100;0,489822;2,007222;5,312165;1,945263
150022;-50,229200;-8,485160;0,333070;1,474790;4,120300;0,503480;3,285070;2,095630;2,019750;0,597173;1,483402;3,592360;0,535258;1,138632;3,498017;0,646417
160001;-51,980470;2,880240;0,200490;2,106030;6,704300;0,192090;1,102910;1,391890;2,027700;-0,003327;1,263287;7,596960;0,067673;0,156320;2,499847;2,430910
160002;-50,932470;1,571050;-0,162960;1,892250;7,599200;0,084240;-0,150330;2,641090;1,916040;0,084290;0,994875;8,282700;0,054325;0,623525;3,913075;2,365065
160003;-51,474960;1,160100;-0,031910;-0,116280;8,990700;-0,083440;0,144140;6,434260;2,702430;0,257622;1,674010;7,139680;0,035420;-0,325574;0,031278;1,833322
160004;-53,045070;0,619000;0,184890;2,013890;6,620300;0,202220;0,475150;-1,575810;2,674260;0,265328;0,969052;7,613760;0,082026;-0,530312;0,598698;1,148106
170001;-48,066470;-6,087220;0,443950;0,361020;1,710800;0,793840;2,142610;6,035040;0,618580;0,475112;1,330926;5,106000;0,384694;0,973504;2,137764;1,286036
170002;-48,430820;-7,373560;0,673120;1,863360;2,353500;0,716390;2,063490;3,792210;0,821370;0,382850;1,035412;4,529580;0,504448;1,945953;2,847255;1,240218
170003;-49,056520;-8,999710;0,433950;0,798990;2,310300;0,721590;1,473820;3,443280;1,238250;0,455346;1,831188;2,921240;0,637934;1,521564;2,420808;0,961418
170004;-49,667930;-11,252420;0,879850;2,507130;3,373700;0,593450;-1,053560;-0,605970;-1,669460;0,511551;1,230925;3,809300;0,608647;0,911531;1,140281;0,290332
170005;-48,949690;-12,027700;1,113420;2,507130;5,699100;0,313220;0,279770;0,420360;-0,609600;0,372173;1,377658;3,473340;0,522243;0,582500;1,368940;0,458033
170006;-48,149600;-9,977660;0,141400;1,534480;3,149700;0,620440;1,418230;3,105570;1,943060;0,528404;1,597244;4,159720;0,498724;0,757550;1,885180;0,370958
170007;-46,928590;-9,341080;0,249290;1,776180;2,025500;0,755910;1,894590;3,716600;1,692370;0,224200;1,138291;2,271480;0,482146;0,997110;2,233244;0,823806
170008;-47,284240;-12,205720;-0,034490;0,396790;7,390000;0,109450;1,193130;2,451630;1,203230;0,413017;1,440180;3,144220;0,652632;1,029953;1,683652;0,788400
210001;-44,848990;-2,167630;-0,065680;-0,814640;4,920800;0,407010;4,392830;-1,561730;3,827090;0,273875;0,292907;4,384500;0,394900;1,032987;-1,391908;1,208745
210002;-44,171340;-2,595190;0,253000;0,511760;9,316900;-0,122750;0,058410;-0,729490;1,425860;0,054180;-0,390070;3,504760;0,391135;1,234995;-2,135235;3,103655
210003;-44,053010;-2,816130;0,174040;0,034500;5,184300;0,375260;-1,922840;-2,708740;2,380220;0,158037;0,097833;3,904460;0,509075;1,768078;-1,130588;1,888030
210004;-42,959150;-2,658690;0,221250;0,136040;2,824300;0,659650;4,076130;0,000300;3,888310;0,116040;-0,002053;4,196480;0,572923;0,245867;-1,139560;1,929523
210005;-45,023520;-2,958990;0,398650;0,355530;2,757100;0,667750;1,136350;-0,900310;0,543540;0,174987;0,012227;4,817240;0,622672;1,361152;-1,728477;1,375975
210006;-44,109260;-3,605950;0,077500;-0,004970;1,837300;0,778600;-0,664740;-5,032950;-0,282550;0,320324;0,428502;4,015540;0,674200;0,338386;-0,578508;1,589582
210007;-46,287540;-2,740770;0,269810;0,269840;2,826900;0,659340;4,860030;-1,229090;0,485360;0,223877;0,196612;4,930220;0,397480;1,538487;0,546015;1,923343
210008;-46,047650;-3,595940;0,096950;-0,340800;2,110000;0,745740;1,237550;1,780520;1,113520;0,370774;0,380934;2,224560;0,685132;1,331026;-0,507096;0,696030
210009;-47,382790;-5,238470;0,685790;1,103830;1,793600;0,783860;-0,451640;0,205600;1,634370;0,189583;0,123858;5,892520;0,351485;1,903592;1,861520;1,062480
210010;-44,831860;-4,461680;0,497300;0,929430;1,907900;0,770080;0,264080;-1,618870;0,732210;0,273302;0,042443;1,693280;0,754063;0,639503;-0,244143;1,313880
210011;-45,620310;-5,802230;0,002320;-0,753960;3,778800;0,544630;0,846310;1,007190;0,084670;0,484183;0,839496;1,452900;0,639793;0,232400;0,177280;1,008061
210012;-44,222940;-5,323620;0,596260;0,579090;0,880100;0,893940;0,676700;0,785960;4,058090;0,290664;0,216302;7,206660;0,757244;0,289990;-0,669572;0,705436
210013;-42,529150;-3,120760;0,110580;-0,443940;2,661100;0,679320;1,050950;-2,150590;1,482420;0,295368;0,333353;3,001660;0,750217;1,813990;1,031320;1,938395
210014;-43,182870;-3,596150;0,063500;0,403280;2,786700;0,664190;1,609490;1,440650;1,925930;0,151953;-0,174831;8,093540;0,229181;0,616677;-0,513196;1,589879
210015;-43,925690;-4,405930;0,468130;0,419770;0,881900;0,893720;0,604850;0,894730;2,366010;0,149937;0,087255;7,430380;0,208260;0,262695;-0,919742;1,274393
210016;-43,304040;-4,369650;-0,398100;-1,360510;29,739900;-2,583840;0,023980;2,172560;0,523180;0,254650;0,126454;2,781380;0,669418;0,647468;0,303896;1,567592
210017;-43,439420;-5,192310;0,063160;-0,022790;2,268800;0,726590;-0,333340;-3,265800;0,689500;0,298970;0,060183;7,898480;0,182018;0,349875;0,666555;1,592255
210018;-44,388570;-6,367310;0,422410;0,509060;1,234800;0,851200;0,068050;-0,365110;-0,345210;0,355404;0,464881;1,704440;0,782237;0,160990;0,326599;0,419019
210019;-47,027670;-7,067460;0,282450;0,748230;11,549300;-0,391770;0,280290;0,636190;0,174200;0,447729;1,230916;1,746400;0,749754;0,955886;2,193254;0,726203
210020;-46,369370;-8,537130;0,271510;1,918350;1,426000;0,828150;0,644070;0,779470;0,542810;0,354292;1,335132;3,898860;0,530162;0,409542;1,540054;0,304794
210021;-45,349630;-7,409260;0,808120;2,347630;1,448100;0,825500;-0,448230;-0,183330;-0,310750;0,281580;0,622090;1,739940;0,593308;0,306860;0,779592;-0,096098
220001;-42,153010;-3,950670;0,410270;-0,004710;1,646700;0,801560;1,148410;3,232320;0,771560;0,176967;-0,041838;2,884880;0,124738;0,677117;0,452392;1,432565
220002;-41,583190;-3,484990;0,486450;0,798800;1,033400;0,875470;0,421930;-0,547990;1,167780;0,243808;0,086994;3,747600;0,535914;0,898720;1,588444;0,446726
220003;-42,578910;-5,047580;0,268190;-0,163280;6,132200;0,261030;0,207930;-0,782420;2,084960;0,208688;-0,099284;7,292220;0,114526;0,421042;1,202966;0,852372
